Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2005-08-27,Fiorentina,Sampdoria,2,1,H,2,0,H,15.0,9.0,9.0,4.0,18.0,23.0,9.0,3.0,1,4,0,0
2005-08-27,Livorno,Lecce,2,1,H,1,1,D,17.0,6.0,7.0,5.0,27.0,21.0,9.0,2.0,2,3,0,0
2005-08-28,Ascoli,Milan,1,1,D,0,0,D,8.0,16.0,3.0,9.0,22.0,16.0,0.0,5.0,2,1,0,0
2005-08-28,Inter,Treviso,3,0,H,1,0,H,16.0,7.0,9.0,3.0,13.0,20.0,6.0,1.0,1,3,0,0
2005-08-28,Juventus,Chievo,1,0,H,1,0,H,16.0,2.0,7.0,0.0,16.0,12.0,6.0,2.0,1,2,0,0
2005-08-28,Lazio,Messina,1,0,H,1,0,H,7.0,16.0,4.0,7.0,18.0,20.0,6.0,10.0,3,1,0,0
2005-08-28,Parma,Palermo,1,1,D,0,1,A,8.0,14.0,3.0,9.0,18.0,9.0,3.0,8.0,3,0,0,0
2005-08-28,Reggina,Roma,0,3,A,0,1,A,5.0,13.0,3.0,9.0,19.0,18.0,2.0,4.0,0,0,1,0
2005-08-28,Siena,Cagliari,2,1,H,1,1,D,10.0,9.0,6.0,6.0,21.0,19.0,4.0,4.0,2,2,1,0
2005-08-28,Udinese,Empoli,1,0,H,1,0,H,12.0,8.0,8.0,4.0,20.0,12.0,6.0,5.0,2,1,0,0
2005-09-10,Milan,Siena,3,1,H,2,1,H,21.0,7.0,11.0,3.0,7.0,16.0,3.0,4.0,1,2,0,0
2005-09-10,Palermo,Inter,3,2,H,1,0,H,24.0,15.0,13.0,6.0,15.0,14.0,9.0,6.0,2,1,0,0
2005-09-11,Cagliari,Lazio,1,1,D,1,1,D,9.0,6.0,3.0,3.0,12.0,16.0,6.0,6.0,2,2,1,0
2005-09-11,Chievo,Parma,1,0,H,1,0,H,12.0,5.0,8.0,2.0,16.0,15.0,9.0,2.0,1,1,0,0
2005-09-11,Empoli,Juventus,0,4,A,0,3,A,9.0,13.0,1.0,8.0,16.0,23.0,3.0,6.0,1,0,0,0
2005-09-11,Lecce,Ascoli,0,0,D,0,0,D,9.0,6.0,6.0,4.0,18.0,9.0,9.0,2.0,2,3,0,1
2005-09-11,Messina,Fiorentina,2,2,D,0,2,A,8.0,12.0,4.0,7.0,19.0,20.0,7.0,7.0,3,3,0,0
2005-09-11,Roma,Udinese,0,1,A,0,1,A,13.0,10.0,4.0,5.0,15.0,20.0,7.0,4.0,0,4,0,0
2005-09-11,Sampdoria,Reggina,3,2,H,1,1,D,16.0,11.0,7.0,7.0,22.0,24.0,5.0,5.0,1,3,0,1
2005-09-11,Treviso,Livorno,0,1,A,0,0,D,4.0,7.0,2.0,4.0,14.0,19.0,3.0,6.0,3,2,0,0
2005-09-17,Inter,Lecce,3,0,H,2,0,H,12.0,7.0,8.0,5.0,16.0,19.0,5.0,3.0,1,1,0,0
2005-09-17,Parma,Empoli,1,0,H,1,0,H,27.0,16.0,12.0,3.0,22.0,19.0,10.0,7.0,1,0,0,0
2005-09-18,Cagliari,Messina,1,1,D,1,1,D,16.0,8.0,8.0,5.0,20.0,25.0,8.0,4.0,1,4,0,0
2005-09-18,Fiorentina,Udinese,4,2,H,2,1,H,11.0,14.0,6.0,9.0,24.0,21.0,4.0,3.0,0,3,0,0
2005-09-18,Juventus,Ascoli,2,1,H,2,1,H,17.0,12.0,7.0,5.0,18.0,16.0,8.0,6.0,2,2,0,0
2005-09-18,Lazio,Treviso,3,1,H,2,1,H,13.0,5.0,6.0,1.0,23.0,23.0,7.0,1.0,0,0,0,1
2005-09-18,Livorno,Roma,0,0,D,0,0,D,6.0,8.0,4.0,5.0,17.0,13.0,5.0,3.0,2,2,0,0
2005-09-18,Reggina,Chievo,1,3,A,1,1,D,16.0,8.0,8.0,5.0,11.0,12.0,5.0,3.0,3,2,0,1
